item_id,main_category_id,sub_category_id,item_name,item_location,visiting_status,description
1,3,8,Ikinimba,North,Open,Ikinimba is a good dance fashion where dancers use much force to make audience happy
2,2,2,Sites,Archeological Sites,Open for Visit,king's ruganzu footage
3,4,0,Ibere Rya Bigogwe,North West,Open for Visit,A long female breast like lock located at the border of Nyabihu and Rubavu
4,5,4,Amahamba,NA,Open for Visit,A very attractive traditional music
5,7,1,,Huye,Open for Visit,It is good to be here
6,5,1,Museum,Nyanza,Open for Visit,good
7,1,3,Porter and Gun,Nyanza,Open for Visit,byiza
8,4,0,orgin of Ikidasomwa,Kamembe,Open for Visit,Talk about origin of this place
9,5,4,Igishakamba,Nyundo School of Music ,Open for Visit," pre-colonial era, Rwandan music was dominated by traditional dances commonly known as amaraba and intore combined in what is called Itorero, which is a Kinyarwanda word meaning ‘a group of people gathered for a specific purpose’ (usually a good purpose!). When Rwanda was colonized by Belgium, Rwand"
10,2,1,the abode of the Hero ,Ibyumba,Open for Visit,the history for fighting  liberation
11,2,2,Utubindi twa Rubon, (Gatsibo district) – 4 kilometers away from the main road in Kayonza Nyagatere,Open for Visit,The site is home to 7 unique clay pots which are believed to have been excavated by King Ruganzu 11 as he traveled with his men from Karagwe.
12,2,2,Kwanyagacyecuru  wo mubisi byahuye,Huye,Open for Visit,in the  history of rwanda shows the the woman who rebelled against the king Rebellion against authority is as old as humanity except in most cases it has been led by men. And Rwanda has not been any different.
13,2,2,Urutare rwa Kamegeri,Ruhango district,Open for Visit,Kumenya imva ni mvano yarwo
14,2,2,Kambyeyi Mountain,Kamonyi District,Open for Visit,Origin of name Kambyeyi land
15,2,1,Genocide Memories ,Gasabo,Open for Visit,To visit this site and taught  the history of Rwanda during Genocide
16,1,14,Rwanda traditional Arts,Ivuka Arts,Open for Visit,Ubwiza bwi Imitako dukoresha uyumunsi
17,8,9,Kalinga,Murukari Inyanza,Open for Visit,the history of Kalinga in the history of Rwanda
18,5,9,The History of Kingdom,Murukari Inyanza,Open for Visit,Explanation of About KingDom
19,2,1,Ethnographic Museum,Huye city,Open for Visit,"Its seven galleries cover an impressive array of topics on almost anything about Rwanda you can imagine: banana beer, geology, cosmology, farming, music, dance, poetry, history, tools, hunting, animal husbandry, weaving, woodwork and transport are all profiled here, giving visitors a rich insight in"
20,2,1,Milk house,Nyanza,Open for Visit, this  museum is less about ancient history and more about royal residences.
21,2,1,Kandt House Museum,Kigali city,Open for Visit,Kandt House Natural History Museum today stands as a natural history museum and displays number of historical exhibits and photographs of the early settlement of Kigali
22,2,1,National Art Gallery,Nyanza,Open for Visit, This museum displays both traditional and contemporary Rwandan artwork which testifies to the originality of Rwandan creativity.
23,2,1,National Liberation Park Museum,Mulindi ,Open for Visit,Rwandan liberation struggle
24,2,1,Environmental Museum,Karongi,Open for Visit,explanations of their use in traditional medicine
25,1,2,Urutare Rwa Ndaba ,Karongi ,Open for Visit,"rumanukaho amazi menshi kandi meza.


"
26,1,2,Urutare Rwa Ngarama,Ngarama sector in Gatsibo district ,Open for Visit,Urutare
27,2,2, Ryamurari,Nyagatare,Open for Visit,it was capital city of Ndorwa Country before it was coming part of Rwanda. Ryamurari is one of the popular archaeological sites within the Great Lakes region and also paramount to Rwandan culture.
28,3,5,Imbyino Nyarwanda,Library of National History,Open for Visit,UKo abanyarwanda bakera bishimaga
29,1,1,item29,kigali,Open for Visit,"today added
"
30,0,0,umubiriri      ,kigali,Closed for Visit,umubiri
31,2,2,Volcanic,Imusanze,Open for Visit,Ingagi
32,2,2,Akagera National Park,Kirehe,Open for Visit,Gusura Intare
33,2,2,Nyungwe National Park,South,Open for Visit,Ecosystem
34,2,2,Nyamata Genocide Memories ,Bugesera,Open for Visit,gusura Abacu no kumenya Amateka ya Genocide
35,3,4,Imbyino Gakondo,Itorero,Open for Visit,uko umuco nyarwanda waruteye mubuvanganzo
36,4,0,Kalisimbi,Musanze,Open for Visit,Ibirunga
37,7,15,Ibikoresho byagakondo,Nyanza,Open for Visit,Uburyo byakorwaga nu buryo byagurishwaga
38,3,6,Holy Land,Nyaruguru,Open for Visit,ikibeho ni ubutaka  butagatifu mu Rwanda Busurwa nabenshi
39,2,2,Umugore Ucana uruti,Muhanga,Open for Visit,amateka yu mugore wacanaga uruti
40,2,2,Ijuru Rya Kamonyi,Kamonyi District,Open for Visit,Aho umwana Yuhi II Mpazimaka live in 
41,2,2,Urewe burials,Rulindo,Open for Visit,"Research was conducted on an Early Iron Age burial site in Kabusanze, Rwanda, that contained the skeletal remains of two people"
42,2,2,Masangano,Butare,Open for Visit, Open hilltop
43,2,2,Mweru cave, Cave on shores of Lake Bulera,Open for Visit,Wood charcoal only
44,3,4, Intore dancers,Itorero Ryigihugu,Open for Visit," Intore dancers consists of long or short skirts, ankle-bands and head-bands made of different beads, headdresses with grass wigs, and small hand-painted shields and sticks."
45,3,4,The female dancers,Itorero Ryigihugu,Open for Visit,"The female dancers wear ceremonial clothing like the traditional umushanana, with a sash draped over one shoulder, worn over a long skirt and well fitted vest-like top."
46,3,4,Rwanda National Ballet,Urukerereza,--Select A Status--,"Our Government is doing a lot to revive our culture, this is why there isindangamirwa"
47,5,11,Replacement of King in Rwanda,Nyanza,Open for Visit,the place where we find the history of kingdom in rwanda
48,5,9,literature review,All in Rwanda,Open for Visit,information about Rwanda
49,7,17,"spear, axes, bow ",Nyanza and Kigali,Open for Visit,about blacksmith art in rwanda
50,5,7,Nzashira Ingurugunzu Nyiringagi,Ngororero,Open for Visit,"inkomoko yu umugani, Nzashira Ingurugunzu Nyiringagi"
51,5,7,Impamba utazarira Ikigali uyirira ku ruyenzi,Kamonyi,Open for Visit,Inkomoko yuyu mugani
52,7,16,Mat,Cooperative of Woman,Open for Visit,History about in weaving mat in rwanda
53,4,0,Gorilla Guardians Village,Musanze,Open for Visit,about of them
54,2,2,Lake Kivu,Rubavu,Open for Visit,kwishimisha ndense no kumva imiterere yigihugu
55,3,6,Nyundo cathoric church,Ngoma,--Select A Status--,"Mugihe cya Genocide Yakorewe Abatutsi ,abantu benshi bahungiye muri za kiliziya Ariko abenshi bahasize ubuzima bwabo cyane cyane kiliziya ya Nyundo itubikiye amateka menshi."
56,2,2,Muhazi River,Gasabo,Open for Visit,Muhazi beach is any Archaeological site in Rwanda where the most people can visiting
57,4,0, Lake Burera,Burera District,Open for Visit,Lake Burera is one of the most gorgeous places in the countr
58,4,0, Mount Sabinyo,Musanze,Open for Visit, Volcanic of Rwanda
59,4,0,Kinigi,Situated in Rwanda’s Northern Province,--Select A Status--,Where every year there have been ceremony of giving name of children of  Gollira
60,4,0,Mount Kigali,Kigali city,Open for Visit,"Rolling hills, remote houses, and flowing rivers can be viewed from different corners of this mountain, which is the perfect escape for city dwellers."
61,3,6,Mosque,Kigali city,Open for Visit,The origin of Islamic in Rwanda
62,4,0,Gacumu,Kamonyi,Open for Visit,Kwasebukwe wa Ngunda
63,5,11,Abiru,Murukari Inyanza,Open for Visit,Ametaka ya Abiru
64,3,6,Ikanyarira Mountain,Ryhango District,Open for Visit,Where the christian got to pray the God
65,3,6,Gusengera Igihugu,Kigali,Open for Visit,Amasengesho yo gusabira igihugu
66,7,14,Basketry,Kamonyi Nyarubaka,Open for Visit,this the traditional craft of rwandan like women
67,4,0,Nyaruguru,Nyaruguru,Open for Visit,amateka yu umutware Nyiramuhanda
